,planning_area,station_name,station_code,year_of_opening,address,lat,lon
0,Ang Mo Kio,Yio Chu Kang,NS15,1987,3000 Ang Mo Kio Avenue 8,1.3691149,103.8454342
1,Ang Mo Kio,Ang Mo Kio,NS16,1987,2450 Ang Mo Kio Avenue 8,1.3691149,103.8454342
2,Ang Mo Kio,Ang Mo Kio,CR11,2029,,,
3,Bedok,Tanah Merah,EW4,1989,920 New Upper Changi Road,1.3236038,103.9273405
4,Bedok,Bedok,EW5,1989,315 New Upper Changi Road,1.3236038,103.9273405
5,Bedok,Kembangan,EW6,1989,55 Sims Avenue East,1.3236038,103.9273405
6,Bedok,Kaki Bukit,DT28,2017,30 Kaki Bukit Avenue 1,1.3236038,103.9273405
7,Bedok,Bedok North,DT29,2017,651 Bedok North Road,1.3236038,103.9273405
8,Bedok,Bedok Reservoir,DT30,2017,371 Bedok North Avenue 3,1.3236038,103.9273405
9,Bishan,Bishan,NS17,1987,200 Bishan Road,1.3525845,103.8352116
10,Bishan,Bishan,CC15,2009,17 Bishan Place,1.3525845,103.8352116
11,Bishan,Marymount,CC16,2009,60 Marymount Road,1.3525845,103.8352116
12,Bukit Batok,Bukit Batok,NS2,1990,10 Bukit Batok Central,1.3590288,103.7636796
13,Bukit Batok,Bukit Gombak,NS3,1990,802 Bukit Batok West Avenue 5,1.3590288,103.7636796
14,Bukit Batok,Bukit Panjang,DT1,2015,950 Upper Bukit Timah Road,1.3590288,103.7636796
15,Bukit Batok,Bukit Panjang,BP6,1999,11 Petir Road,1.3590288,103.7636796
16,Bukit Batok,Cashew,DT2,2015,1 Cashew Road,1.3590288,103.7636796
17,Bukit Batok,Hillview,DT3,2015,510 Upper Bukit Timah Road,1.3590288,103.7636796
18,Bukit Merah,Outram Park,EW16,1987,10 Outram Road,1.2819046,103.8239182
19,Bukit Merah,Outram Park,NE3,2003,300 Eu Tong Sen Street,1.2819046,103.8239182
20,Bukit Merah,Outram Park,TE17,2021,13 Outram Road,1.2819046,103.8239182
21,Bukit Merah,Tiong Bahru,EW17,1988,300 Tiong Bahru Road,1.2819046,103.8239182
22,Bukit Merah,Redhill,EW18,1988,920 Tiong Bahru Road,1.2819046,103.8239182
23,Bukit Merah,HarbourFront,NE1,2003,81 Telok Blangah Road,1.2819046,103.8239182
24,Bukit Merah,HarbourFront,CC29,2011,83 Telok Blangah Road,1.2819046,103.8239182
25,Bukit Merah,Labrador Park,CC27,2011,701 Telok Blangah Road,1.2819046,103.8239182
26,Bukit Merah,Telok Blangah,CC28,2011,463 Telok Blangah Road,1.2819046,103.8239182
27,Bukit Panjang,Bukit Panjang,DT1,2015,950 Upper Bukit Timah Road,1.3774142,103.7719498
28,Bukit Panjang,Bukit Panjang,BP6,1999,11 Petir Road,1.3774142,103.7719498
29,Bukit Panjang,Cashew,DT2,2015,1 Cashew Road,1.3774142,103.7719498
30,Bukit Panjang,Hillview,DT3,2015,510 Upper Bukit Timah Road,1.3774142,103.7719498
31,Bukit Timah,Farrer Road,CC20,2011,71 Farrer Road,1.3294113,103.8020777
32,Bukit Timah,Holland Village,CC21,2011,200 Holland Avenue,1.3294113,103.8020777
33,Bukit Timah,Beauty World,DT5,2015,101 Upper Bukit Timah Road,1.3294113,103.8020777
34,Bukit Timah,King Albert Park,DT6,2015,2 Blackmore Drive,1.3294113,103.8020777
35,Bukit Timah,Sixth Avenue,DT7,2015,777 Bukit Timah Road,1.3294113,103.8020777
36,Bukit Timah,Tan Kah Kee,DT8,2015,651 Bukit Timah Road,1.3294113,103.8020777
37,Changi,Changi Airport,CG2,2002,70 Airport Boulevard,1.3450101,103.9832089
38,Choa Chu Kang,Choa Chu Kang,NS4,1990,10 Choa Chu Kang Avenue 4,1.3839803,103.7469611
39,Choa Chu Kang,Choa Chu Kang,BP1,1999,15 Choa Chu Kang Avenue 4,1.3839803,103.7469611
40,Choa Chu Kang,Choa Chu Kang,JS1,2026,,,
41,Choa Chu Kang,Yew Tee,NS5,1996,61 Choa Chu Kang Drive,1.3839803,103.7469611
42,Choa Chu Kang,Bukit Panjang,DT1,2015,950 Upper Bukit Timah Road,1.3839803,103.7469611
43,Choa Chu Kang,Bukit Panjang,BP6,1999,11 Petir Road,1.3839803,103.7469611
44,Clementi,Clementi,EW23,1988,3150 Commonwealth Avenue West,1.3161811,103.7649377
45,Downtown Core,City Hall,NS25,1987,150 North Bridge Road,1.2866961,103.8535097
46,Downtown Core,City Hall,EW13,1987,150 North Bridge Road,1.2866961,103.8535097
47,Downtown Core,Raffles Place,NS26,1987,5 Raffles Place,1.2866961,103.8535097
48,Downtown Core,Raffles Place,EW14,1987,5 Raffles Place,1.2866961,103.8535097
49,Downtown Core,Marina Bay,NS27,1989,21 Park Street,1.2866961,103.8535097
50,Downtown Core,Marina Bay,CE2,2012,23 Park Street,1.2866961,103.8535097
51,Downtown Core,Marina Bay,TE20,2021,25 Park Street,1.2866961,103.8535097
52,Downtown Core,Bugis,EW12,1989,320 Victoria Street,1.2866961,103.8535097
53,Downtown Core,Bugis,DT14,2013,191 Rochor Road,1.2866961,103.8535097
54,Downtown Core,Tanjong Pagar,EW15,1987,120 Maxwell Road,1.2866961,103.8535097
55,Downtown Core,Esplanade,CC3,2010,90 Bras Basah Road,1.2866961,103.8535097
